x;y
-1.0191529796969512;2.535173242742366
-0.9989916893743702;2.481060688629811
-0.9788303990517901;2.4269481345172563
-0.9586691087292092;2.372835580404703
-0.9586691087292092;2.3187230262921483
-0.9385078184066282;2.264610472179595
-0.9385078184066282;2.156385363954487
-0.9183465280840482;2.0752165327856558
-0.9183465280840482;1.9940477016168243
-0.9183465280840482;1.9669914245605478
-0.8981852377614672;1.8858225933917163
-0.8981852377614672;1.8858225933917163
-0.8981852377614672;1.7234849310540534
-0.8981852377614672;1.6693723769415003
-0.8981852377614672;1.642316099885222
-0.8981852377614672;1.5611472687163914
-0.8981852377614672;1.5611472687163914
-0.8780239474388862;1.5070347146038374
-0.8780239474388862;1.3988096063787294
-0.8780239474388862;1.3446970522661745
-0.8578626571163062;1.2364719440410665
-0.8578626571163062;1.1823593899285125
-0.8578626571163062;1.1282468358159585
-0.8175400764711442;1.0200217275908505
-0.8175400764711442;0.9117966193657416
-0.8175400764711442;0.8576840652531876
-0.7973787861485642;0.8035715111406336
-0.7973787861485642;0.8035715111406336
-0.7973787861485642;0.6953464029155256
-0.7973787861485642;0.6682901258592482
-0.7973787861485642;0.6412338488029716
-0.7973787861485642;0.5600650176341402
-0.7973787861485642;0.47889618646530874
-0.7973787861485642;0.4518399094090322
-0.7973787861485642;0.42478363235275474
-0.7973787861485642;0.26244597001509273
-0.7973787861485642;0.1271645847337073
-0.7973787861485642;0.04599575356487584
-0.7973787861485642;-0.06222935466023216
-0.7973787861485642;-0.1975107399416176
-0.7973787861485642;-0.22456701699789416
-0.7973787861485642;-0.27867957111044817
-0.7973787861485642;-0.27867957111044817
-0.7973787861485642;-0.3057358481667256
-0.7973787861485642;-0.33279212522300217
-0.7973787861485642;-0.38690467933555706
-0.7973787861485642;-0.4139609563918336
-0.7973787861485642;-0.44101723344811106
-0.7973787861485642;-0.6304111728420505
-0.7973787861485642;-0.6574674498983271
-0.7973787861485642;-0.7115800040108811
-0.7973787861485642;-0.7115800040108811
-0.7973787861485642;-0.8468613892922665
-0.7973787861485642;-0.873917666348544
-0.7973787861485642;-0.928030220461098
-0.7973787861485642;-0.9550864975173745
-0.7973787861485642;-1.036255328686206
-0.7973787861485642;-1.036255328686206
-0.7973787861485642;-1.144480436911314
-0.7973787861485642;-1.144480436911314
-0.7973787861485642;-1.1715367139675914
-0.7973787861485642;-1.252705545136422
-0.7973787861485642;-1.252705545136422
-0.7973787861485642;-1.2797618221926994
-0.7973787861485642;-1.3068180992489768
-0.7973787861485642;-1.3609306533615309
-0.7973787861485642;-1.3879869304178074
-0.7973787861485642;-1.4691557615866389
-0.7973787861485642;-1.4691557615866389
-0.8175400764711442;-1.5232683156991929
-0.8175400764711442;-1.5773808698117469
-0.8377013667937252;-1.5773808698117469
-0.8377013667937252;-1.6044371468680243
-0.8377013667937252;-1.6856059780368549
-0.8578626571163062;-1.7397185321494097
-0.8780239474388862;-1.7938310862619637
-0.8780239474388862;-1.8479436403745177
-0.8981852377614672;-1.9020561944870717
-0.8981852377614672;-1.9291124715433492
-0.8981852377614672;-2.0102813027121798
-0.9183465280840482;-2.037337579768457
-0.9183465280840482;-2.1185064109372878
-0.9183465280840482;-2.145562687993565
-0.9385078184066282;-2.253787796218673
-0.9385078184066282;-2.3349566273875046
-0.9385078184066282;-2.3890691815000586
-0.9385078184066282;-2.4431817356126126
